average,bpm,max_in_period,raw_value,timestamp,user_email,id,processed_timestamp
50,45.454545455,4095,4095,.sv,test@test.com,-ONifJkQkBCHJSM9phPu,.sv
539,77.922077922,3504,3504,.sv,test@test.com,-ONifKHHDMMcwqI9XJ3B,.sv
15,39.447731755,1161,1161,.sv,test@test.com,-ONifL3K2KmOSNnMuYoj,.sv
81,176.991150442,3609,3609,.sv,test@test.com,-ONifL8U6YDRXomJpmI1,.sv
102,151.133501259,2039,2039,.sv,test@test.com,-ONifLEpMadZ4KKlWYPX,.sv
135,142.857142857,1376,1376,.sv,test@test.com,-ONifLLMGrsZ1lSvYh_Z,.sv
6,25.773195876,357,357,.sv,test@test.com,-ONifLunPFG3sB4Eaa4U,.sv
10,136.054421769,398,398,.sv,test@test.com,-ONifM0gy78DjGOV86oA,.sv
1727,117.647058824,2795,2795,.sv,test@test.com,-ONifOnwRpZpv_75SW7E,.sv
1370,40.540540541,2706,2706,.sv,test@test.com,-ONifRBQJsB1uZNbTw75,.sv
2727,28.708133971,4095,4095,.sv,test@test.com,-ONifTB91g1U0141mlit,.sv
58,44.444444444,4095,4095,.sv,test@test.com,-ONifTlV8tx7jc3yT48Y,.sv
74,126.050420168,1615,1615,.sv,test@test.com,-ONifTssgSoApLgg1o59,.sv
817,76.923076923,1285,1285,.sv,test@test.com,-ONifXS5nwqYuIowoNff,.sv
45,41.379310345,4095,4095,.sv,test@test.com,-ONifYpR59hyeDBbYP3G,.sv
47,161.290322581,156,156,.sv,test@test.com,-ONifYv65PV9W93sNJQY,.sv
66,194.174757282,1942,1942,.sv,test@test.com,-ONifYzoRz9TTh8rxDAA,.sv
107,166.666666667,4095,4095,.sv,test@test.com,-ONifZ4Q-2xpwMOGKc90,.sv
318,199.335548173,4095,4095,.sv,test@test.com,-ONifZ96IyYcxJwnK_CR,.sv
13,24.590163934,87,87,.sv,test@test.com,-ONifZvsL1ozP1LPXwx6,.sv
1740,95.238095238,2675,2675,.sv,test@test.com,-ONifcIlR47zh3mhx3Xy,.sv
2517,75.949367089,4095,4095,.sv,test@test.com,-ONifdPAj0bo29tQXExF,.sv
2502,159.574468085,4095,4095,.sv,test@test.com,-ONifdUwmC1POjenSShG,.sv
2490,186.335403727,4095,4095,.sv,test@test.com,-ONifdZw1gFjZKrXUAJN,.sv
2199,92.307692308,3445,3445,.sv,test@test.com,-ONife52jRy4BWW3s0pe,.sv
2198,180.18018018,4095,4095,.sv,test@test.com,-ONifeA3yDZnEPaMk845,.sv
1711,102.040816327,2914,2914,.sv,test@test.com,-ONifeJHY8GDWvb96lRb,.sv
1659,113.20754717,2736,2736,.sv,test@test.com,-ONifg8_0ptdrqgiqN_P,.sv
1659,191.693290735,4095,4095,.sv,test@test.com,-ONifgDLTSntSJFQGh70,.sv
1700,199.335548173,4095,4095,.sv,test@test.com,-ONifgI27esmMqsch4rH,.sv
1700,198.01980198,4095,4095,.sv,test@test.com,-ONifgMr_TW6IF2edKYZ,.sv
1700,199.335548173,4095,4095,.sv,test@test.com,-ONifgRSpRT8qW--dnQ3,.sv
1712,188.679245283,4095,4095,.sv,test@test.com,-ONifgWPHxYrC70H1EGJ,.sv
2255,133.333333333,3529,3529,.sv,test@test.com,-ONifgnjDSNKhDMijWEe,.sv
1708,176.470588235,2736,2736,.sv,test@test.com,-ONifiaEhKYyqi5nkmbT,.sv
1749,184.049079755,4095,4095,.sv,test@test.com,-ONififCbXNznd05cb7Q,.sv
1749,198.675496689,4095,4095,.sv,test@test.com,-ONifijpCnM6e6E_5U15,.sv
1790,189.873417722,4095,4095,.sv,test@test.com,-ONifiol0BKx30lGdupP,.sv
2727,113.20754717,4095,4095,.sv,test@test.com,-ONifjNKYleBK9TcaMve,.sv
2688,188.679245283,4095,4095,.sv,test@test.com,-ONifjSDqeM6131zVaym,.sv
1832,68.965517241,3575,3575,.sv,test@test.com,-ONifmqYndnSXydf0Pve,.sv
1847,117.416829746,4095,4095,.sv,test@test.com,-ONifmyIKAUfDgHfUDVp,.sv
1818,194.805194805,4095,4095,.sv,test@test.com,-ONifn22xidCJ8LmT_GU,.sv
1704,142.517814727,2622,2622,.sv,test@test.com,-ONifn8aZMxt_4aY6mOh,.sv
2130,142.857142857,3911,3911,.sv,test@test.com,-ONifq1-c4hPBvs2wkXs,.sv
2080,26.548672566,3181,3181,.sv,test@test.com,-ONifrUJzwY-IRshUTaB,.sv
2715,25.423728814,4095,4095,.sv,test@test.com,-ONifsc6hmw7O0o0-GDI,.sv
2727,90.909090909,4095,4095,.sv,test@test.com,-ONifuOdkcFzGk115uAm,.sv
1242,125.0,3174,3174,.sv,test@test.com,-ONifv0g78c8JBBA7ds8,.sv
1673,157.480314961,4095,4095,.sv,test@test.com,-ONifv6_FPpumbvQ2c5H,.sv
1509,187.5,4095,4095,.sv,test@test.com,-ONify9_D0TFPWdYTaij,.sv
1522,65.005417118,4095,4095,.sv,test@test.com,-ONifyD1F-F2vh_HajBd,.sv
1563,188.087774295,4095,4095,.sv,test@test.com,-ONifyIAG0luTd3lN-SQ,.sv
1734,158.311345646,4095,4095,.sv,test@test.com,-ONifyNxA0a0nxxPhtS4,.sv
774,103.448275862,2352,2352,.sv,test@test.com,-ONifz_DmQKsYsckWkCS,.sv
91,146.341463415,256,256,.sv,test@test.com,-ONifziuUAN8ZCWvE7dx,.sv
603,68.181818182,1702,1702,.sv,test@test.com,-ONig--q8nviTz88gZxp,.sv
13,31.562335613,811,811,.sv,test@test.com,-ONig-cwzw__YeXHzc7G,.sv
6,42.887776984,162,162,.sv,test@test.com,-ONig-ykXB3DxqkLZ4mC,.sv
3,30.303030303,51,51,.sv,test@test.com,-ONig0WytVdNpFjlbvMZ,.sv
214,42.342978123,4095,4095,.sv,test@test.com,-ONig0s3o9XQFSW-TPtg,.sv
10,36.809815951,621,621,.sv,test@test.com,-ONig40yY43SnzDEbnvl,.sv
10,88.105726872,55,55,.sv,test@test.com,-ONig4BZQw11aLZy3jDc,.sv
996,27.637033625,1707,1707,.sv,test@test.com,-ONig7qcBD1_CUniCeeE,.sv
1482,171.428571429,3235,3235,.sv,test@test.com,-ONig8CWQh5JGMyYSSW7,.sv
2723,32.432432432,4095,4095,.sv,test@test.com,-ONigACgpvqjhMbZxdk2,.sv
2682,169.971671388,4095,4095,.sv,test@test.com,-ONigAI6rjDaKeIz2uJ3,.sv
2601,56.603773585,4095,4095,.sv,test@test.com,-ONigB3855P90OkOHw8K,.sv
2209,115.163147793,4095,4095,.sv,test@test.com,-ONigBBCr9MNpRl5ycHd,.sv
1226,115.384615385,2507,2507,.sv,test@test.com,-ONigBV5AcZpIRR9kyTs,.sv
2222,28.436018957,4095,4095,.sv,test@test.com,-ONigDC9lVsvdcF9QOhb,.sv
1515,113.20754717,2397,2397,.sv,test@test.com,-ONigDNg5Mxy4X7uVrSO,.sv
1641,150.0,2757,2757,.sv,test@test.com,-ONigDk-fjkMVVu3_8y3,.sv
2019,68.965517241,3609,3609,.sv,test@test.com,-ONigEuaS4CG5JDdo1MS,.sv
2363,150.0,3579,3579,.sv,test@test.com,-ONigFelfo-0ZxC2LolO,.sv
1830,146.341463415,2943,2943,.sv,test@test.com,-ONigG7kJLlh6dqMLIV7,.sv
1979,153.846153846,3298,3298,.sv,test@test.com,-ONigHmYZPyuBvyGUCKi,.sv
1979,169.491525424,4095,4095,.sv,test@test.com,-ONigHrzqcq-NfZNOTuU,.sv
1979,150.0,4095,4095,.sv,test@test.com,-ONigHy5HjdIDhyrKKlp,.sv
1708,92.735703246,2640,2640,.sv,test@test.com,-ONigI7DFiKX62eVPNc9,.sv
1700,125.786163522,4095,4095,.sv,test@test.com,-ONigIEhiL5OK5zAiEfd,.sv
1752,189.27444795,4095,4095,.sv,test@test.com,-ONigIJoU6DRyjHtcWUW,.sv
1767,150.0,4095,4095,.sv,test@test.com,-ONigIPrH1r4MO5KKTWc,.sv
1793,142.857142857,4095,4095,.sv,test@test.com,-ONigIWVIj_szUCe75Bo,.sv
1832,195.439739414,4095,4095,.sv,test@test.com,-ONigIaMWQnBPVGC9yZR,.sv
2652,29.850746269,4095,4095,.sv,test@test.com,-ONigL4796Eh8XtMRO9n,.sv
2627,191.693290735,4095,4095,.sv,test@test.com,-ONigL8PJ_M1QdsYz96_,.sv
2603,149.625935162,4095,4095,.sv,test@test.com,-ONigLEcVqvYZnonC_6y,.sv
1735,98.360655738,4095,4095,.sv,test@test.com,-ONigNKsKgTMNl6M6xMX,.sv
2715,48.387096774,4095,4095,.sv,test@test.com,-ONigNyqanueBwtD2P3n,.sv
1201,23.059185242,2379,2379,.sv,test@test.com,-ONigObRiRAgWeGSwY3c,.sv
1238,187.5,1976,1976,.sv,test@test.com,-ONigP-Rk6Ud61KqU3Ze,.sv
2645,130.434782609,4095,4095,.sv,test@test.com,-ONigRZ1ptJKey-5Xdto,.sv
2632,168.067226891,4095,4095,.sv,test@test.com,-ONigRdSivoFk58F0zR2,.sv
2650,149.625935162,4095,4095,.sv,test@test.com,-ONigRjppD005RQJiw4f,.sv
2715,189.873417722,4095,4095,.sv,test@test.com,-ONigRoryptFrXMwLp8-,.sv
1944,60.606060606,3833,3833,.sv,test@test.com,-ONigSGzQInYuu4gOriC,.sv
1670,166.20498615,2845,2845,.sv,test@test.com,-ONigSMaHxCG9JV1hYbC,.sv
1504,167.13091922,4095,4095,.sv,test@test.com,-ONigSS8L0Jux6RI7quE,.sv
2722,117.647058824,4095,4095,.sv,test@test.com,-ONigUyejrIDV-z7-G7I,.sv
2718,68.965517241,4095,4095,.sv,test@test.com,-ONigXptm7QHUR79iIq_,.sv
2714,39.473684211,4095,4095,.sv,test@test.com,-ONigZW7MWqR7F_AN1vQ,.sv
1249,70.671378092,1931,1931,.sv,test@test.com,-ONigZiN7webzfwN_Fm6,.sv
1289,188.679245283,4095,4095,.sv,test@test.com,-ONigZn5tJsG2iS22X6m,.sv
1289,199.335548173,4095,4095,.sv,test@test.com,-ONigZrtJMiHNH6Gabjm,.sv
2216,98.360655738,3367,3367,.sv,test@test.com,-ONigan0B2TdeyJXO0ud,.sv
2209,143.540669856,4095,4095,.sv,test@test.com,-ONigatLUzFBtZlBrGan,.sv
2203,143.198090692,4095,4095,.sv,test@test.com,-ONigazxJIPvllcFb7C6,.sv
964,27.397260274,1501,1501,.sv,test@test.com,-ONigdTLwmgqIzeYQDMz,.sv
583,136.054421769,993,993,.sv,test@test.com,-ONigd_FbDas_sWX0EyU,.sv
2454,125.0,3919,3919,.sv,test@test.com,-ONigeBCUAQ5SmdSOq5M,.sv
2701,44.742729306,4095,4095,.sv,test@test.com,-ONigeJ6nmqjDxSdxn4E,.sv
1769,98.684210526,3079,3079,.sv,test@test.com,-ONigeSkLK34Y10PwsEr,.sv
1769,177.514792899,4095,4095,.sv,test@test.com,-ONigeXsxPXJwBaaK9SG,.sv
1810,188.087774295,4095,4095,.sv,test@test.com,-ONigebu6Uq52Fgk8ebS,.sv
1793,189.873417722,3005,3005,.sv,test@test.com,-ONigegsw-GKlG4O0vGo,.sv
2664,100.0,4095,4095,.sv,test@test.com,-ONigfPM8h-Cmg8c0Mey,.sv
2297,122.699386503,4048,4048,.sv,test@test.com,-ONigfWu6S-NWN1UXGIZ,.sv
2720,181.818181818,4095,4095,.sv,test@test.com,-ONiggUK9q2G2gGNwKOo,.sv
2380,111.111111111,4095,4095,.sv,test@test.com,-ONiggbi9h_NjCRC6ozI,.sv
2380,189.27444795,4095,4095,.sv,test@test.com,-ONigggX8E7Zb03APkNf,.sv
2398,143.198090692,4095,4095,.sv,test@test.com,-ONiggnDXCHN0KuIPiZr,.sv
2730,139.534883721,4095,4095,.sv,test@test.com,-ONighM-nYUT99Ych7aq,.sv
2690,160.0,4095,4095,.sv,test@test.com,-ONighReI448e0vX9CDB,.sv
2720,42.253521127,4095,4095,.sv,test@test.com,-ONigiSUxSnYnp833PLk,.sv
2726,25.210084034,4095,4095,.sv,test@test.com,-ONiglA-lJm-Uf3eNeHL,.sv
2722,185.185185185,4095,4095,.sv,test@test.com,-ONiglF1TYC66mrz2qy3,.sv
1545,76.433121019,2551,2551,.sv,test@test.com,-ONiglRIQ9RNS1LUI9qx,.sv
2722,103.448275862,4095,4095,.sv,test@test.com,-ONigmtiuYAiPRXV_eDJ,.sv
1605,87.082728592,2879,2879,.sv,test@test.com,-ONign3RVPT1f9I45pXF,.sv
1670,160.857908847,4095,4095,.sv,test@test.com,-ONign9I0sj41sxAJqso,.sv
1591,107.142857143,2674,2674,.sv,test@test.com,-ONigosHf2yQRqo26VEM,.sv
1704,38.709677419,2965,2965,.sv,test@test.com,-ONigqbMKybWHzHqXKoK,.sv
1690,48.387096774,2650,2650,.sv,test@test.com,-ONigrhAfVMRPmdOfM_5,.sv
1551,105.263157895,4095,4095,.sv,test@test.com,-ONigsSD5Pnu4dU7q-FU,.sv
1423,95.238095238,4095,4095,.sv,test@test.com,-ONigsgEGKvJ9b3ppBDa,.sv
1539,41.379310345,2430,2430,.sv,test@test.com,-ONigteUf0wItkd1q7yK,.sv
835,33.149171271,3625,3625,.sv,test@test.com,-ONiguQaHC2ZsOOt8r3W,.sv
1875,162.162162162,4019,4019,.sv,test@test.com,-ONigwsh3Xnzj6ruE4O8,.sv
1375,105.263157895,2301,2301,.sv,test@test.com,-ONih092E36zzA1iY754,.sv
2209,127.659574468,3731,3731,.sv,test@test.com,-ONih29zrgCRxrgLbqs6,.sv
2205,189.27444795,4095,4095,.sv,test@test.com,-ONih2Etap6bNNxg8Wws,.sv
213,46.511627907,671,671,.sv,test@test.com,-ONih3rE3Hr6TSmh-kLU,.sv
2255,109.090909091,4095,4095,.sv,test@test.com,-ONih5LPqegikgrcxM-h,.sv
2255,189.873417722,4095,4095,.sv,test@test.com,-ONih5QD7oYQn16Oy2GS,.sv
1957,181.818181818,3185,3185,.sv,test@test.com,-ONih669dgz79KaN_tWU,.sv
1997,117.647058824,3216,3216,.sv,test@test.com,-ONih6cmysEHMIeDJGzB,.sv
1918,170.94017094,3233,3233,.sv,test@test.com,-ONih6iKhLq3AQAaeo8h,.sv
1833,117.647058824,3617,3617,.sv,test@test.com,-ONihAZ765-4Uiye700v,.sv
1499,63.157894737,2354,2354,.sv,test@test.com,-ONihDOJCWDUnBMG9zrh,.sv
1468,178.041543027,4095,4095,.sv,test@test.com,-ONihDTQ5S_Dl7VVbcMu,.sv
1269,93.75,1972,1972,.sv,test@test.com,-ONihGE8T0xbbM8tsUFO,.sv
561,80.0,1648,1648,.sv,test@test.com,-ONihHXS7SWKk1n3I6G9,.sv
558,168.067226891,4095,4095,.sv,test@test.com,-ONihHbr1rzmP00dwA-S,.sv
559,150.0,4095,4095,.sv,test@test.com,-ONihHi5He4bphDjVrFr,.sv
601,189.27444795,4095,4095,.sv,test@test.com,-ONihHnE8zeV3oH-hNdu,.sv
1352,100.166944908,2896,2896,.sv,test@test.com,-ONihHwW0dLul-YvEf8f,.sv
1399,185.758513932,4095,4095,.sv,test@test.com,-ONihI0bQAwqU52JmI1b,.sv
1667,130.718954248,4095,4095,.sv,test@test.com,-ONihI7jxRoYOQUYDsMx,.sv
2732,52.173913043,4095,4095,.sv,test@test.com,-ONihJs326vykP_PCq2v,.sv
2738,144.927536232,4095,4095,.sv,test@test.com,-ONihJyRIWEeFlJaTbSX,.sv
2734,150.0,4095,4095,.sv,test@test.com,-ONihK3hdhibBhvlL4LT,.sv
2517,147.058823529,4095,4095,.sv,test@test.com,-ONihK9tafMD6roee0j6,.sv
2476,189.27444795,4095,4095,.sv,test@test.com,-ONihKEsYQPlY3u7BxD1,.sv
2715,28.28854314,4095,4095,.sv,test@test.com,-ONihKrL4A6HSGkOaowu,.sv
1729,68.965517241,3126,3126,.sv,test@test.com,-ONihMo5pg98d-Qgpwma,.sv
1688,68.415051311,4095,4095,.sv,test@test.com,-ONihMru6Ga3SSkig98B,.sv
1763,143.540669856,4095,4095,.sv,test@test.com,-ONihMyJxf6DUoTgkUwi,.sv
1927,75.949367089,4095,4095,.sv,test@test.com,-ONihN_Wc8IRkHt8aJ-U,.sv
1621,92.307692308,2531,2531,.sv,test@test.com,-ONihSVvIHGptEy4Q2ME,.sv
1638,22.813688213,2582,2582,.sv,test@test.com,-ONihTcvDLgBvhyfVnwi,.sv
1540,125.0,2943,2943,.sv,test@test.com,-ONihW7H1bGreBsJt1GK,.sv
1879,89.552238806,2903,2903,.sv,test@test.com,-ONihYJXdst3JI4auMzQ,.sv
1878,144.230769231,4095,4095,.sv,test@test.com,-ONihYQ0OrRQzFUxMsIL,.sv
1975,125.0,3731,3731,.sv,test@test.com,-ONihYh7dUZy4cImQ-Cd,.sv
1984,197.368421053,4095,4095,.sv,test@test.com,-ONihYlNQMXE2ZBkzhy8,.sv
1996,148.88337469,4095,4095,.sv,test@test.com,-ONihYrdQXtfnfL9awr8,.sv
1988,188.679245283,4095,4095,.sv,test@test.com,-ONihYwhDDvVkaiD8nyG,.sv
1969,150.37593985,4095,4095,.sv,test@test.com,-ONihZ2-Rq8q8pIDdIl0,.sv
2708,51.724137931,4095,4095,.sv,test@test.com,-ONihaJ9-SahK0hTbFGQ,.sv
2128,134.228187919,3277,3277,.sv,test@test.com,-ONihaQ-648Oyan7UbmL,.sv
2128,144.230769231,4095,4095,.sv,test@test.com,-ONihaWXAvaV4GgQRNAE,.sv
2311,147.783251232,4095,4095,.sv,test@test.com,-ONihablzz0XxLKMm2wF,.sv
2311,145.278450363,4095,4095,.sv,test@test.com,-ONihaiL8iaQhXKEQImI,.sv
2368,150.37593985,4095,4095,.sv,test@test.com,-ONihaoTDFXQYPfreeW8,.sv
1815,66.079295154,2797,2797,.sv,test@test.com,-ONihb1nzIY2ne80uxP_,.sv
2707,100.0,4095,4095,.sv,test@test.com,-ONihe8hIlooFigi_05l,.sv
2455,60.0,4095,4095,.sv,test@test.com,-ONihgvREuNzBrBVrAFA,.sv
2549,64.308681672,4095,4095,.sv,test@test.com,-ONihh1XuDV3lAEJpVdS,.sv
1976,146.341463415,3381,3381,.sv,test@test.com,-ONihjI1HvKOxf6EfPWc,.sv
995,117.647058824,1520,1520,.sv,test@test.com,-ONihlNJXC6h3JXAGi5v,.sv
2123,120.0,4095,4095,.sv,test@test.com,-ONihp9hPytuULjDOCnm,.sv
2006,176.470588235,3047,3047,.sv,test@test.com,-ONihpEvd9XssYHn3i7p,.sv
1619,103.270223752,4060,4060,.sv,test@test.com,-ONihpO-82dAx4RNPAP9,.sv
1359,176.470588235,2307,2307,.sv,test@test.com,-ONihpTH2p6q4DqNjvSm,.sv
1395,192.307692308,4095,4095,.sv,test@test.com,-ONihpY8D_U3pBt0zio2,.sv
1444,194.805194805,4095,4095,.sv,test@test.com,-ONihpbu4-sipohlYz7L,.sv
540,82.191780822,1332,1332,.sv,test@test.com,-ONihuDO3UmP9b3AXQQ_,.sv
465,157.480314961,1635,1635,.sv,test@test.com,-ONihuJI7Z0Y_J0JHedM,.sv
492,180.18018018,4095,4095,.sv,test@test.com,-ONihuOQmUqumeHHgSdT,.sv
508,118.343195266,2506,2506,.sv,test@test.com,-ONihuWGML6rXvYcjObV,.sv
590,142.857142857,4095,4095,.sv,test@test.com,-ONihuc--OktxqK-u880,.sv
2125,120.0,3191,3191,.sv,test@test.com,-ONihxNPsterE77C2Ta3,.sv
2096,160.427807487,4095,4095,.sv,test@test.com,-ONihxTC-SlXu3tgtUbq,.sv
2702,37.5,4095,4095,.sv,test@test.com,-ONihzjfa9g1-guuA3SE,.sv
2677,185.758513932,4095,4095,.sv,test@test.com,-ONihzoerJIr1yqKgYps,.sv
2684,142.857142857,4095,4095,.sv,test@test.com,-ONihzvE59Z4j2v4giwx,.sv
2664,150.37593985,4095,4095,.sv,test@test.com,-ONii-0RKDWuYoEv9rdK,.sv
1645,142.857142857,3009,3009,.sv,test@test.com,-ONii1-7cVGTcUPtKUvz,.sv
1684,198.675496689,4095,4095,.sv,test@test.com,-ONii13bCm0tP_hjMODO,.sv
1692,107.334525939,4095,4095,.sv,test@test.com,-ONii1CPJX1jrzfdn30t,.sv
1638,182.370820669,2851,2851,.sv,test@test.com,-ONii1HX77HD4aZLJTcp,.sv
1649,176.470588235,3033,3033,.sv,test@test.com,-ONii1MykcLdByFOroZs,.sv
1940,120.0,2929,2929,.sv,test@test.com,-ONii4UFQu6pu-JMnMjD,.sv
1935,39.814200398,4095,4095,.sv,test@test.com,-ONii4aJ8eZ40CDoaNyN,.sv
1928,198.01980198,3446,3446,.sv,test@test.com,-ONii4f2yNXvCYK_6P3r,.sv
1791,146.341463415,2992,2992,.sv,test@test.com,-ONii70g-cBYUxRt-wCN,.sv
1785,152.284263959,4095,4095,.sv,test@test.com,-ONii77-gX9gqONGzmEw,.sv
1772,27.649769585,2901,2901,.sv,test@test.com,-ONii8A2nrzXTSlukP7M,.sv
1731,145.631067961,4095,4095,.sv,test@test.com,-ONii8GVSu-Dw3dCdYGW,.sv
1415,150.37593985,2788,2788,.sv,test@test.com,-ONii8MhS4ShsqB5k2wI,.sv
1387,185.758513932,4095,4095,.sv,test@test.com,-ONii8Rgcky0qlVwB94w,.sv
2574,171.428571429,4095,4095,.sv,test@test.com,-ONiiBx51sJ35a8UoZJk,.sv
2567,150.37593985,4095,4095,.sv,test@test.com,-ONiiC2HgkxTY4IPjob-,.sv
2586,199.335548173,4095,4095,.sv,test@test.com,-ONiiC6rsSIo6PYRCmpS,.sv
2633,117.1875,4095,4095,.sv,test@test.com,-ONiiCEx0yqpbkE8zCcX,.sv
2630,194.805194805,4095,4095,.sv,test@test.com,-ONiiCJe0wAvLiPi8Les,.sv
2643,191.693290735,4095,4095,.sv,test@test.com,-ONiiCOa8pedC6P8cyhH,.sv
2624,197.368421053,4095,4095,.sv,test@test.com,-ONiiCTOaQiGbxHnUSZZ,.sv
2647,198.01980198,4095,4095,.sv,test@test.com,-ONiiCY57pr5EeqtRbU5,.sv
2660,149.625935162,4095,4095,.sv,test@test.com,-ONiiCdPiSfRdZXh_0Jt,.sv
2669,142.857142857,4095,4095,.sv,test@test.com,-ONiiCjq-lunY-y4nd7S,.sv
2425,99.833610649,4067,4067,.sv,test@test.com,-ONiiCtNxJKBFcIiNymk,.sv
1858,117.647058824,3281,3281,.sv,test@test.com,-ONiiFD2NdK8zNM-DTJU,.sv
1862,132.158590308,4095,4095,.sv,test@test.com,-ONiiFK2N5VlZskfJaD2,.sv
1870,156.25,4095,4095,.sv,test@test.com,-ONiiFQ26rJ4USpVNiLA,.sv
1827,165.289256198,2830,2830,.sv,test@test.com,-ONiiFVgZYZyF-IaOfn8,.sv
2717,181.818181818,4095,4095,.sv,test@test.com,-ONiiHyS-5KOnm5w7lY-,.sv
2699,138.56812933,4095,4095,.sv,test@test.com,-ONiiI4K13AXoJvWLcAn,.sv
2683,93.457943925,4095,4095,.sv,test@test.com,-ONiiIENGtyxtyE61Ppq,.sv
2702,143.198090692,4095,4095,.sv,test@test.com,-ONiiIMUi80EtLPojT4P,.sv
2692,142.517814727,4095,4095,.sv,test@test.com,-ONiiIRWJsQmLmySr2WV,.sv
2638,123.203285421,4095,4095,.sv,test@test.com,-ONiiIYcQdPjiQUjKiwQ,.sv
2629,160.857908847,4095,4095,.sv,test@test.com,-ONiiIdSUbg0t-BrmsN9,.sv
2581,172.910662824,4095,4095,.sv,test@test.com,-ONiiIilI88UYAuFbP5-,.sv
2549,103.626943005,4095,4095,.sv,test@test.com,-ONiiIryPhIKY1jLRBi1,.sv
2306,135.440180587,4095,4095,.sv,test@test.com,-ONiiIypR0qY_LxyrQh1,.sv
2322,151.898734177,4095,4095,.sv,test@test.com,-ONiiJ3rQvBf9r7ynLBy,.sv
1550,87.591240876,2436,2436,.sv,test@test.com,-ONiiJEaqcRwNLEnSm03,.sv
1539,189.873417722,4095,4095,.sv,test@test.com,-ONiiJJbDO88ZDBcel8b,.sv
1519,142.857142857,4095,4095,.sv,test@test.com,-ONiiJQC77CO_ptZCu9b,.sv
2026,187.5,3071,3071,.sv,test@test.com,-ONiiJl47Mu30jEUPjm0,.sv
231,37.267080745,385,385,.sv,test@test.com,-ONiiMILSyFOdX1caZ3k,.sv
2086,125.0,3750,3750,.sv,test@test.com,-ONiiRRep3t3LeYnpWVN,.sv
2127,180.18018018,4095,4095,.sv,test@test.com,-ONiiRWgsDWhJ5q-0YPo,.sv
2126,150.753768844,4095,4095,.sv,test@test.com,-ONiiRc-4Wbu7JVxP0S-,.sv
2150,73.349633252,3307,3307,.sv,test@test.com,-ONiiRonaI-k_uU_6xhq,.sv
2152,199.335548173,4095,4095,.sv,test@test.com,-ONiiRtKdUlZe3OlTZML,.sv
2152,147.42014742,4095,4095,.sv,test@test.com,-ONiiRzp9DXqDg273ZLp,.sv
2150,144.230769231,4095,4095,.sv,test@test.com,-ONiiS5KoUuzCWQmMgou,.sv
2147,198.01980198,4095,4095,.sv,test@test.com,-ONiiSA2Gl2fhLDvaVrm,.sv
